Source,Target
DrGaffarQuadri,DrGaffarQuadri
DrGaffarQuadri,AIMIMSOLAPUR
DrGaffarQuadri,amkhan9730
DrGaffarQuadri,imtiaz_jaleel
DrGaffarQuadri,asadowaisi
DrGaffarQuadri,aimim_national
DrGaffarQuadri,warispathan
KrishanuBJP,SankarDutta5111
chhuti_is,UdaySRana
chhuti_is,therealashish09
chhuti_is,prawncis
chhuti_is,ranjodhd
chhuti_is,MnshaP
chhuti_is,Guttajwala
chhuti_is,SushantSin
Chandrimaaitc,abhishekaitc
Chandrimaaitc,abhishekaitc
sanket,sanket
sanket,kawaljit
sanket,AbijitG
sanket,ndtv
aimimupofficial,imShaukatAli
aimimupofficial,imShaukatAli
aimimupofficial,asadowaisi
aimimupofficial,imShaukatAli
aimimupofficial,imtiaz_jaleel
aimimupofficial,DrKhanShadab
aimimupofficial,imShaukatAli
aimimupofficial,aimim_national
aimimupofficial,imShaukatAli
YogijiRoxx,imSaffronAshu
YogijiRoxx,raniroyrocky
YogijiRoxx,ThePlacardGuy
SrijanForYou,SitaramYechury
anubhavsinha,dranildhar
anubhavsinha,FaheemYounus
anubhavsinha,prakashraaj
anubhavsinha,parthpunter
anubhavsinha,gurpriyasingh
KolleoIsBack,KolleoIsBack
KolleoIsBack,diil_se_indian
KolleoIsBack,Rajibbagchi6
KolleoIsBack,KolleoIsBack
KolleoIsBack,KolleoIsBack
KolleoIsBack,KolleoIsBack
KolleoIsBack,KolleoIsBack
WBPolice,JpgPolice
WBPolice,RaiganjPolice
WBPolice,JpgPolice
MIRZARahmathBa6,aimim_national
SimontiniB,Nareshbiswani_1
Sisirkumardatt3,JasBJP
Sisirkumardatt3,RadharaniSadhu1
Sisirkumardatt3,ChSuprio
Sisirkumardatt3,ChSuprio
Sisirkumardatt3,chak_somesh
PiyushGoyal,narendramodi
PiyushGoyal,narendramodi
PiyushGoyal,narendramodi
PiyushGoyal,narendramodi
PiyushGoyal,narendramodi
NiharRa9026843,BharadwajSpeaks
NiharRa9026843,Sanjay_Dixit
NiharRa9026843,SortedEagle
NiharRa9026843,ippatel
NiharRa9026843,upamanyu70
NiharRa9026843,ProfKapilKumar
dpradhanbjp,AmitShah
dpradhanbjp,JPNadda
dpradhanbjp,narendramodi
dpradhanbjp,narendramodi
dpradhanbjp,narendramodi
dpradhanbjp,narendramodi
dpradhanbjp,narendramodi
urvish2020,suchetadalal
AimimSeemanchal,aimim_national
AimimSeemanchal,syedasimwaqar
AimimSeemanchal,imAkbarOwaisi
AimimSeemanchal,VS_Iaf
AimimSeemanchal,aimim_national
AimimSeemanchal,syedasimwaqar
selinasenwrites,ShashiTharoor
Aagan86,debraj_speaks
muntaziraapka,zoo_bear
muntaziraapka,LiveLawIndia
muntaziraapka,scribe_it
muntaziraapka,LiveLawIndia
muntaziraapka,LiveLawIndia
muntaziraapka,abhisar_sharma
muntaziraapka,kapsology
muntaziraapka,AAPExpress
muntaziraapka,DaaruBaazMehta
muntaziraapka,BabaGlocal
CPKolkata,KolkataPolice
CPKolkata,KPDetectiveDept
CPKolkata,KPDetectiveDept
CPKolkata,Neelsher
CPKolkata,KolkataPolice
CPKolkata,KolkataPolice
amitmalviya,narendramodi
amitmalviya,swapan55
IndianExpress,ExpressPune
IndianExpress,ExpressPune
IndianExpress,ie_mumbai
IndianExpress,IExpressSports
IndianExpress,ExpressGujarat
IndianExpress,IExpressSports
IndianExpress,KhurafatiChopra
IndianExpress,ie_mumbai
OfficeofJPNadda,JPNadda
OfficeofJPNadda,JPNadda
OfficeofJPNadda,JPNadda
OfficeofJPNadda,JPNadda
OfficeofJPNadda,JPNadda
OfficeofJPNadda,JPNadda
OfficeofJPNadda,JPNadda
OfficeofJPNadda,JPNadda
OfficeofJPNadda,JPNadda
OfficeofJPNadda,JPNadda
DidiKeBolo,ShashiTharoor
DidiKeBolo,bhupeshbaghel
DidiKeBolo,ManishTewari
DidiKeBolo,mkstalin
DidiKeBolo,capt_amarinder
DidiKeBolo,HemantSorenJMM
DidiKeBolo,yadavakhilesh
DidiKeBolo,BanglarGorboMB
GhatakMoloy,MahuaMoitra
AB_JayHind,AB_JayHind
aroyfloyd,MrSamratX
aroyfloyd,RanaSarkar
aroyfloyd,hedsngo
aroyfloyd,LOVEBUNNYMYEON
aroyfloyd,ThisissAbhi
aroyfloyd,iindraadip
aroyfloyd,protithi
aroyfloyd,PriyankaTamot
idea2370,sudarsansand
idea2370,aneelraajtunk
Tanveeralig35,tiwarymanoj
Tanveeralig35,kunalkamra88
Tanveeralig35,mamtabangal
Tanveeralig35,srinivasaiims
Tanveeralig35,prashantsingh_3
onlineGhosh,Actor_Siddharth
onlineGhosh,SreyashiDey
ABHIJIT_LS,scribe_prashant
ABHIJIT_LS,INCIndia
Sudip_007_truth,ThePlacardGuy
Sudip_007_truth,promzzz
Soum17785045,SinghkolAashika
Soum17785045,promzzz
Soum17785045,hatecommie
AltNews,AltNewsHindi
AltNews,AltNewsHindi
AltNews,AltNewsHindi
AltNews,AltNewsHindi
AltNews,AltNewsHindi
AltNews,AltNewsHindi
Bunibroto,sudhirksingh
kmc_kolkata,wbdhfw
kmc_kolkata,wbdhfw
kmc_kolkata,kmc_kolkata
kmc_kolkata,wbdhfw
kmc_kolkata,wbdhfw
derekobrienmp,ranjona
derekobrienmp,yadavtejashwi
derekobrienmp,ArvindKejriwal
derekobrienmp,PawarSpeaks
derekobrienmp,HemantSorenJMM
derekobrienmp,yadavakhilesh
derekobrienmp,RahulGandhi
devangshudatta,bhalomanush
devangshudatta,Shrabonti
devangshudatta,nilanjanaroy
devangshudatta,JaskiratSB
devangshudatta,blurt2kc
devangshudatta,YangerINC
devangshudatta,SushantSin
anoophilip,iknoorkaur
anoophilip,anoophilip
anoophilip,ieuditmisra
anoophilip,adilhossain
cpimspeak,vijayanpinarayi
cpimspeak,drthomasisaac
cpimspeak,drthomasisaac
cpimspeak,vijayanpinarayi
sohinigr,bose_shohini
sohinigr,PrannoyRoyNDTV
sohinigr,kawaljit
SankarshanT,iamyusufpathan
SankarshanT,darpananilsingh
SankarshanT,_amitbehere
SankarshanT,prashant_pg
SankarshanT,DrJoyeeta
CNNnews18,news18dotcom
dindaashoke,BJP4Bengal
tiwarymanoj,diptalk1
tiwarymanoj,aritram029
tiwarymanoj,Karishma_Mehta5
VTankha,INCMP
SubhasishMP,MamataOfficial
SubhasishMP,abhishekaitc
SubhasishMP,abhishekaitc
SubhasishMP,MamataOfficial
SubhasishMP,MamataOfficial
SubhasishMP,MamataOfficial
SubhasishMP,MamataOfficial
SubhasishMP,abhishekaitc
pcsarangi,narendramodi
pcsarangi,AmitShah
pcsarangi,narendramodi
pcsarangi,narendramodi
pcsarangi,narendramodi
pcsarangi,narendramodi
pcsarangi,narendramodi
mkvenu1,IndianExpress
mkvenu1,seemay
mkvenu1,svaradarajan
mkvenu1,HartoshSinghBal
mkvenu1,PrashantKishor
mkvenu1,bainjal
mkvenu1,suhasinih
AuschwitzMuseum,AuschwitzMuseum
AuschwitzMuseum,DrsMeena
AuschwitzMuseum,AuschwitzMuseum
iamrajchoco,SamannayMukher5
iamrajchoco,paramspeak
iamrajchoco,mayukhrghosh
iamrajchoco,mayukhrghosh
iamrajchoco,COVIHELP1
kausarmohiuddin,asadowaisi
VakashaS,DebayonRoy
VakashaS,LiveLawIndia
VakashaS,TheLeaflet_in
VakashaS,chetnakum
FireFly53647402,MrSinha_
FireFly53647402,zzz93842322
FireFly53647402,rajbhawal143
FireFly53647402,Mohansinha
FireFly53647402,Mr_Siddharth
FireFly53647402,Soumyadipta
salimdotcomrade,vijayprashad
salimdotcomrade,MANJULtoons
salimdotcomrade,vijayanpinarayi
salimdotcomrade,ambkcsingh
salimdotcomrade,free_thinker
salimdotcomrade,AunindyoC
salimdotcomrade,MayukhDuke
salimdotcomrade,LiveLawIndia
imShaukatAli,asadowaisi
imShaukatAli,Champarni_Tariq
imShaukatAli,aimim_national
imShaukatAli,asadowaisi
imShaukatAli,asadowaisi
imShaukatAli,aimim_national
aishe_ghosh,Naa_Cheese
aishe_ghosh,sarayupani
aishe_ghosh,tjoseph0010
aishe_ghosh,thekorahabraham
aishe_ghosh,ndtv
aishe_ghosh,ashoswai
aishe_ghosh,srijitspeaketh
aishe_ghosh,drthomasisaac
ShefVaidya,smitabarooah
ShefVaidya,WeirdStatement
ShefVaidya,TVMohandasPai
ShefVaidya,indictoday
ShefVaidya,TheHinduCafe
_sabanaqvi,PSainath_org
_sabanaqvi,IndiaAheadNews
_sabanaqvi,_sabanaqvi
RanaAyyub,nprscottsimon
RanaAyyub,brhodes
RanaAyyub,nprscottsimon
MIMBahadurpura,asadowaisi
MIMBahadurpura,asadowaisi
MIMBahadurpura,aimim_national
MIMBahadurpura,aimim_national
MIMBahadurpura,asadowaisi
MIMBahadurpura,asadowaisi
MIMBahadurpura,asadowaisi
Rajibbagchi6,Iyervval
Rajibbagchi6,ani_digital
Rajibbagchi6,SushantBSinha
Rajibbagchi6,NagarJitendra
Rajibbagchi6,barandbench
syedasimwaqar,brajeshlive
syedasimwaqar,aimim_national
syedasimwaqar,ArvinderSoin
syedasimwaqar,asma_ulfat_rafi
syedasimwaqar,brajeshlive
syedasimwaqar,syedasimwaqar
PritishNandy,ketto
PritishNandy,theabhayk
PritishNandy,tn_haokip
PritishNandy,PritishNandy
PritishNandy,TheDeshBhakt
Aimim_Sai_Kumar,asadowaisi
Aimim_Sai_Kumar,aimim_national
Aimim_Sai_Kumar,China_Amb_India
Aimim_Sai_Kumar,aimim_national
Aimim_Sai_Kumar,aimim_national
Aimim_Sai_Kumar,manogyaloiwal
Aimim_Sai_Kumar,AC360
Aimim_Sai_Kumar,asadowaisi
Aimim_Sai_Kumar,asadowaisi
Aimim_Sai_Kumar,MilanV
BrutIndia,brutamerica
NicolaCareem,JayantMalhotr18
NicolaCareem,NickDLow
NicolaCareem,NickDLow
NicolaCareem,nramind
NicolaCareem,joyopal
NicolaCareem,soutikBBC
NicolaCareem,LauraTrevelyan
NicolaCareem,mehreenzahra
NicolaCareem,dhume
NicolaCareem,mohanisin
rohanrgupta,INCIndia
rohanrgupta,RahulGandhi
rohanrgupta,RahulGandhi
rohanrgupta,INCIndia
rohanrgupta,RahulGandhi
rohanrgupta,INCIndia
rohanrgupta,INCIndia
rohanrgupta,INCIndia
ranjona,harryrandhawa32
ranjona,CharouRathore
ranjona,sumitkashyapjha
ranjona,CharouRathore
ranjona,CharouRathore
ranjona,chetana_cg
ranjona,DilawarTalkies
ranjona,derekobrienmp
SubhashiniAli,seemay
SubhashiniAli,SushantSin
SubhashiniAli,ManishPandeyLKW
SubhashiniAli,karunanundy
SubhashiniAli,bainjal
SubhashiniAli,ziahaq
SubhashiniAli,beardedtakes
SubhashiniAli,beardedtakes
SubhashiniAli,SushantSin
SubhashiniAli,timesofindia
kantanu,ShashiTharoor
kantanu,INCWestBengal
kantanu,thoumayestnow
SubhasC34,SushilModi
SubhasC34,raniroyrocky
SubhasC34,AmitShah
INCIndia,RahulGandhi
INCIndia,rssurjewala
INCIndia,rssurjewala
KhanSaumitra,AmitShah
KhanSaumitra,AmitShah
KhanSaumitra,JPNadda
KhanSaumitra,JPNadda
KhanSaumitra,SuvenduWB
KhanSaumitra,narendramodi
KhanSaumitra,narendramodi
KhanSaumitra,amitmalviya
BJP4India,narendramodi
BJP4India,JPNadda
BJP4India,JPNadda
BJP4India,JPNadda
BJP4India,JPNadda
BJP4India,JPNadda
BJP4India,JPNadda
BJP4India,JPNadda
Mittermaniac,Vyshchowdary
Mittermaniac,abhishek_tri
Mittermaniac,chetrisunil11
Mittermaniac,shubhangi_misra
Mittermaniac,baboonzero
Mittermaniac,tweetria
Mittermaniac,MasalaBai
Mittermaniac,shreemiverma
Mittermaniac,LiveLawIndia
Mittermaniac,awwwnchal
SouravProsad1,RahulGandhi
SouravProsad1,itsfarukahamed
SouravProsad1,RahulGandhi
SouravProsad1,Neerajkundan
SouravProsad1,Neerajkundan
SouravProsad1,itsfarukahamed
SouravProsad1,CPNSUIKOLKATA
SouravProsad1,Neerajkundan
ShadabKhanIYC,ShadabKhanIYC
ShadabKhanIYC,RahulGandhi
ShadabKhanIYC,RahulGandhi
ShadabKhanIYC,srinivasiyc
ShadabKhanIYC,srinivasiyc
ShadabKhanIYC,srinivasiyc
ShadabKhanIYC,srinivasiyc
rwbhadrolok,ThePlacardGuy
rwbhadrolok,rahulroushan
rwbhadrolok,im_a_scorpio_
rwbhadrolok,Bittuverma7
rwbhadrolok,bhak_sala
rwbhadrolok,AninBanerjee
rwbhadrolok,BBTheorist
rwbhadrolok,YearOfTheKraken
rwbhadrolok,swapan55
SaketGokhale,derekobrienmp
SaketGokhale,njalva
SaketGokhale,mkstalin
SaketGokhale,RahulGandhi
SaketGokhale,derekobrienmp
SaketGokhale,Pawankhera
SaketGokhale,derekobrienmp
Abhijit_Basak83,swapan55
Abhijit_Basak83,JPNadda
adi1191,BanglarGorboMB
adi1191,derekobrienmp
adi1191,RMac18
adi1191,srijitspeaketh
adi1191,BanglarGorboMB
Pawankhera,JaipurGolden
Pawankhera,Aparna
Pawankhera,szarita
Pawankhera,KotaNeelima
Pawankhera,hemantrajora_
Pawankhera,ArvinderSoin
Pawankhera,RubikaLiyaquat
Pawankhera,hemantrajora_
Pawankhera,PencyS
Pawankhera,ShuklaRajiv
BPSinghINC_,rssurjewala
BPSinghINC_,rssurjewala
BPSinghINC_,INCIndia
BPSinghINC_,RahulGandhi
BPSinghINC_,RahulGandhi
RitabrataBanerj,NilanjanDas_
patralekha2011,salonayyy
patralekha2011,BhartiAparajita
patralekha2011,angshukanta
patralekha2011,DaktarBatra
jankibaat1,jankibaat1
jankibaat1,ANI
jankibaat1,ANI
jankibaat1,ANI
me_sourish_,bongosanatani
me_sourish_,SuvenduWB
me_sourish_,AninBanerjee
me_sourish_,VHPDigital
me_sourish_,subhanuroy
me_sourish_,SankarDutta5111
me_sourish_,RituRathaur
1ArijitD,BharadwajSpeaks
1ArijitD,hatecommie
anirbanganguly,friendsofrss
anirbanganguly,Somnath_Temple
anirbanganguly,Somnath_Temple
anirbanganguly,narendramodi
anirbanganguly,narendramodi
abhishekaitc,MyAnandaBazar
abhishekaitc,AITCofficial
abhishekaitc,BanglarGorboMB
abhishekaitc,MamataOfficial
abhishekaitc,News18Bengali
narendra52,keveeyes
narendra52,sway_hi
narendra52,narendra52
narendra52,narendra52
narendra52,narendra52
SuPriyoBabul,JPNadda
SuPriyoBabul,swapan55
SuPriyoBabul,narendramodi
SuPriyoBabul,BJP4Bengal
SuPriyoBabul,BJP4Bengal
SuPriyoBabul,PiyushGoyal
pbhushan1,_YogendraYadav
pbhushan1,scribe_prashant
pbhushan1,RamanDhaka
pbhushan1,GVDBossche
pbhushan1,PrannoyRoyNDTV
free_thinker,zoo_bear
free_thinker,NaveedIRS
free_thinker,dikshamadhok
free_thinker,Raheelk
free_thinker,adhicutting
free_thinker,salonayyy
free_thinker,suchitrav
free_thinker,NidhiSuresh_
Aakar__Patel,jyotiyadaav
Aakar__Patel,sunetrac
Aakar__Patel,ashoswai
Aakar__Patel,SoumyajitWrites
Aakar__Patel,NeelanjanSircar
Aakar__Patel,tehseenp
Aakar__Patel,abhisar_sharma
JasBJP,amitmalviya
JasBJP,Sisirkumardatt3
JasBJP,narendramodi
JasBJP,SuvenduWB
JasBJP,narendramodi
JasBJP,Sisirkumardatt3
JasBJP,paritosh2608
ajoydasgupta,CNNnews18
ajoydasgupta,SitaramYechury
im_somnathgupta,bhartijainTOI
im_somnathgupta,payalmehta100
mohsinaddeen96,asadowaisi
mohsinaddeen96,asadowaisi
mohsinaddeen96,pathan_sumaya
mohsinaddeen96,pathan_sumaya
mohsinaddeen96,MemberAIMIM
arvindgunasekar,PrannoyRoyNDTV
arvindgunasekar,ndtv
KisanSabha,frontline_india
KisanSabha,DrAshokDhawale
KisanSabha,comredamraram
KisanSabha,newsclickin
sagarikaghose,thikalbrad
aroopbiswasaitc,abhishekaitc
aroopbiswasaitc,abhishekaitc
aroopbiswasaitc,MamataOfficial
patra_amiya,mishra_surjya
patra_amiya,sfidusouth
HomeBengal,DistrictPgs
AITCofficial,MamataOfficial
AITCofficial,MamataOfficial
AITCofficial,MamataOfficial
AITCofficial,MamataOfficial
AITCofficial,MamataOfficial
AITCofficial,abhishekaitc
AITCofficial,abhishekaitc
sujitboseaitc,abhishekaitc
sujitboseaitc,abhishekaitc
sujitboseaitc,MamataOfficial
sujitboseaitc,MamataOfficial
sujitboseaitc,MamataOfficial
FirhadHakim,MamataOfficial
FirhadHakim,MamataOfficial
FirhadHakim,MamataOfficial
BJP4Assam,AmitShah
BJP4Assam,AmitShah
BJP4Assam,AmitShah
BJP4Assam,AmitShah
BJP4Assam,DrJitendraSingh
BJP4Assam,DrJitendraSingh
BJP4Assam,DrJitendraSingh
kaushikcbasu,vsengupta
kaushikcbasu,kaushikcbasu
kaushikcbasu,BillKristol
kaushikcbasu,maya206
kaushikcbasu,IJaising
HinduarmysUnity,im_riya0
sumonseng,Dipankar_cpiml
sumonseng,ronnysen
sumonseng,AarKiBolboBolo
sumonseng,CpimlWestBengal
KanchanGupta,muglikar_
KanchanGupta,PoulomiMSaha
KanchanGupta,centerofright
KanchanGupta,deepscribble
KanchanGupta,ANI
KanchanGupta,kamleshksingh
KanchanGupta,swapan55
KanchanGupta,KiranKS
KanchanGupta,JulieMcCarthyJM
KanchanGupta,SuvenduWB
KoushaniMukher1,ElkaDutta
KoushaniMukher1,zeemusicbangla
KoushaniMukher1,KoushikGo1
KoushaniMukher1,TMC_Supporters
SuvenduWB,republic
Arijit4India,thakkar_sameet
Arijit4India,NehaBeniwal18
Arijit4India,AshishMerkhed
